sl_no,gender,age,address,Medu,Fedu,Mjob,Fjob,famsup,paid,activities,internet,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status,salary
1,M,23,U,4,4,at_home,teacher,no,no,no,no,67,State,91,State,Commerce,58,Sci&Tech,No,55,Mkt&HR,78,Placed,350000
2,M,19,U,1,1,at_home,other,yes,no,no,yes,79.33,State,78.33,Central,Science,77.48,Sci&Tech,Yes,86.5,Mkt&Fin,80,Placed,200000
3,M,19,U,1,1,at_home,other,no,yes,no,yes,65,Private,68,Private,Arts,64,Comm&Mgmt,No,75,Mkt&Fin,77,Placed,350000
4,M,21,U,4,2,health,services,yes,yes,yes,yes,56,Central,52,State,Science,52,Sci&Tech,No,66,Mkt&HR,50,Not Placed,
5,M,22,U,3,3,other,other,yes,yes,no,no,85.8,Private,73.6,Central,Commerce,73.3,Comm&Mgmt,No,96.8,Mkt&Fin,86,Placed,250000
6,M,19,U,4,3,services,other,yes,yes,yes,yes,55,Private,49.8,State,Science,67.25,Sci&Tech,Yes,55,Mkt&Fin,63,Not Placed,
7,F,19,U,2,2,other,other,no,no,no,yes,46,Central,49.2,State,Commerce,79,Comm&Mgmt,No,74.28,Mkt&Fin,59,Not Placed,
8,M,18,U,4,4,other,teacher,yes,no,no,no,82,State,64,State,Science,66,Sci&Tech,Yes,67,Mkt&Fin,83,Placed,300000
9,M,19,U,3,2,services,other,yes,yes,no,yes,73,State,79,Central,Commerce,72,Comm&Mgmt,No,91.34,Mkt&Fin,51,Placed,350000
10,M,21,U,3,4,other,other,yes,yes,yes,yes,58,Private,70,State,Commerce,61,Comm&Mgmt,No,54,Mkt&Fin,67,Not Placed,
11,M,18,U,4,4,teacher,health,yes,yes,no,yes,58,State,61,Central,Commerce,60,Comm&Mgmt,Yes,62,Mkt&HR,53,Placed,300000
12,M,18,U,2,1,services,other,yes,no,yes,yes,69.6,State,68.4,Central,Commerce,78.3,Comm&Mgmt,Yes,60,Mkt&Fin,59,Placed,400000
