serialno|hinc|rooms
45|68100|2
103|359000|5
159|14700|4
697|101500|9
749|38600|3
962|86480|8
1051|81300|6
1514|90000|3
1537|28000|8
1791|271800|8
1942|18200|9
2028|122300|7
2197|42400|5
2293|90000|5
2295|29000|5
2402|5300|3
2583|31000|6
2697|322000|9
3058|54000|6
3271|76300|7
3769|15800|4
3803|97080|6
4366|134340|7
4518|14750|3
4659|95000|7
4663|47700|6
4837|132800|9
4976|19100|6
5295|77000|7
5484|71860|7
5556|48520|5
5695|21600|3
5779|87260|5
5831|95000|3
6024|10800|3
6040|224300|9
6157|57600|6
6189|78700|3
6335|25600|7
6456|65800|7
6753|40000|6
6757|109890|9
6881|35000|5
6996|19000|5
7140|75000|5
7189|24800|6
7273|89800|9
7405|34900|6
7646|68160|5
7849|10000|3
7901|90000|7
7978|77000|5
8122|28000|4
8367|44500|6
8745|324400|8
8835|10900|2
9204|45000|8
9309|81360|9
9375|134000|6
9391|41200|5
9441|70000|7
9443|32500|5
9508|32000|4
9542|6700|3
10092|104300|9
10154|35914|4
10335|121700|5
10867|19000|4
11012|144300|7
11018|25000|4
11020|20800|5
11116|111000|4
11126|87800|9
11343|2900|1
11397|42000|7
11821|87420|7
11843|162000|6
11917|5000|3
12021|77840|4
12078|102500|6
12114|19500|4
12315|43200|5
12558|19100|6
12632|52600|8
12815|43000|5
12819|57000|9
12893|35000|4
13049|64710|5
13248|32000|4
13262|244500|9
13443|27000|6
13539|76600|7
14144|36000|4
14308|56600|4
14435|39000|8
14475|58000|9
14549|51170|5
14567|5000|7
14814|72000|7
14975|81300|9
15067|119970|9
15099|90000|6
15282|48300|7
15383|83420|9
15421|14620|1
15493|21300|2
15854|28800|6
16142|67400|9
16232|37400|9
16431|57700|5
16463|21590|7
16565|66600|9
16786|78000|6
16886|45500|6
16961|70000|5
17268|60000|4
17330|225000|8
17342|223100|9
17633|138400|7
17840|13700|5
18149|28350|4
18661|183300|9
18728|41500|6
18840|20200|6
18848|50000|4
18892|7000|3
19037|63100|5
19063|82000|5
19121|89500|6
19167|114370|6
19212|111000|8
19260|94530|6
19396|43200|6
20137|45000|5
20147|29000|3
20244|36000|6
20462|205000|9
20683|48420|7
21402|59000|6
21428|154600|8
21663|110500|9
22344|87300|3
22697|39400|7
22723|9200|4
22745|13000|5
22755|85700|5
22912|133000|8
23372|14600|3
23384|17400|6
23490|10000|6
23709|165400|5
23980|123850|9
24095|36200|7
24125|35400|4
24217|29900|6
24464|64800|5
24466|61500|7
24498|50600|5
24623|44000|4
24896|10800|2
25020|26400|5
25181|45700|7
25384|115020|7
25414|2500|5
25596|10300|6
25683|15900|5
26197|117000|7
26233|29500|5
26321|57700|7
26365|127600|9
26388|47000|4
26412|42000|2
26440|46000|6
26550|79000|5
26560|23800|7
26894|89304|7
26896|162500|7
27209|138000|4
27245|69600|7
27373|101800|7
27434|21700|6
27580|79400|8
27644|58630|6
27759|134630|8
27879|102220|7
28528|7400|4
28548|90000|9
28640|5180|4
28664|40000|4
28697|100000|9
28715|56500|5
28731|9300|3
28861|104000|2
28905|167500|9
28928|36400|6
29096|298130|7
29180|79004|4
29311|198500|8
29345|55000|8
29634|26200|3
29984|94740|6
30144|382000|2
30251|110040|6
30277|34000|6
30524|94000|9
30528|75000|7
30610|27000|5
30658|19200|4
30805|62850|7
30881|85000|5
30921|1200|3
30949|87600|9
31429|21800|6
31604|12800|5
31745|47000|3
32293|112000|4
32361|21000|3
32407|27500|4
32427|306000|5
32865|9600|5
33088|34750|5
33244|78000|6
33309|299300|6
33507|93000|6
33790|46004|7
34102|1400|4
34150|46000|5
34323|72500|2
34455|60000|6
34762|62000|3
35114|150300|7
35136|62410|5
35280|6400|3
35463|329900|9
35666|18400|6
35800|76000|6
35804|12000|5
36059|16500|3
36178|16000|1
36373|62400|8
36417|45700|5
37091|49000|6
37109|3400|5
37130|730|3
37423|33000|8
37427|51000|5
37459|78000|5
37692|70000|6
37750|38000|5
37828|103000|8
37971|10200|5
38053|67000|7
38220|87110|5
38356|30500|2
38390|195270|9
38471|9700|7
38543|31500|6
38601|33000|5
38688|19650|4
38822|13220|3
38915|322000|8
39089|330000|8
39386|124000|9
39858|20000|5
40065|121050|7
40414|21400|5
40653|15000|1
40659|468230|9
40892|53520|7
41037|53000|7
41364|5800|4
41456|27600|6
41493|9100|3
41689|13400|4
41856|168500|8
42099|106100|7
42171|26960|3
42203|25000|5
42264|70900|6
42414|16700|2
42480|52490|7
43051|15100|5
43478|181200|7
43709|39500|7
43994|20600|5
44085|46700|5
44482|18900|2
44595|27200|8
45095|10100|6
45193|95900|4
45309|21000|5
45709|43200|8
45753|20000|3
45966|149100|9
46004|62500|9
46289|105000|6
46418|42000|5
46623|33330|4
46637|78000|6
46657|132100|9
46749|46000|4
47046|9700|3
47113|48590|7
47231|46000|5
47341|46000|7
47446|58000|5
47474|8000|4
47679|35000|5
47703|49700|6
47829|38000|2
48070|16600|4
48074|32000|5
48100|3650|5
48147|48700|6
48464|93900|5
48861|85000|9
49076|122500|5
49293|30000|5
49472|505800|9
49510|36400|8
49681|19000|5
49725|50500|9
50191|99400|9
50281|140000|3
50429|347000|9
50490|55040|7
50582|53220|6
50656|24000|4
50827|88600|8
51126|35000|5
51134|124140|9
51249|113000|8
51474|82000|7
51566|123000|9
51620|41200|5
51957|13400|2
51984|50900|2
52255|18000|5
52817|45000|4
52871|39000|7
52889|81840|6
53030|10500|5
53594|72890|6
54142|63000|4
54594|31000|4
54785|426200|9
55837|73800|5
55873|26000|5
55993|152700|7
56128|56000|5
56174|8200|1
56304|33200|2
56357|55000|4
56391|36000|5
56716|82000|8
56895|14500|2
56915|31960|9
56939|37300|3
57250|19000|4
57563|93000|7
57708|5900|6
57830|65700|3
57985|54100|5
58019|20500|6
58244|118000|7
58306|45690|8
58690|12000|2
58766|69000|8
58878|62500|6
59250|73800|9
59300|46750|7
59372|69000|5
59531|36200|4
59625|50010|5
59686|35380|5
59792|41000|3
59880|36300|6
60017|20000|4
60113|55000|4
60266|25000|1
60286|124000|7
61001|119000|5
61169|48000|7
61228|28300|5
61567|199900|6
61637|347000|9
62045|10900|5
62137|37400|8
62197|36000|6
62282|58400|7
62481|106200|9
62838|103000|6
62906|16120|6
63077|77000|7
63422|13500|5
63575|41000|8
63673|302000|8
63868|51630|8
64107|55200|9
64264|43400|3
64266|25900|3
64792|114530|7
65020|13200|3
65037|8800|2
65197|9000|3
65298|138700|8
92|105530|6
142|141500|8
168|161400|6
457|72600|5
467|61000|5
682|92000|6
688|66450|2
833|93700|7
1347|186500|8
1403|30600|4
1419|49400|5
1513|33300|4
1535|22400|7
1668|9800|1
1957|30000|5
2463|23000|6
2732|62500|6
2951|260000|9
3457|85060|6
3539|63270|5
3851|30500|4
3913|7500|3
3995|34000|8
4011|48000|3
4077|69000|6
4230|18000|3
4728|37900|5
4836|22600|3
4867|97800|5
5061|51400|9
5304|132040|8
6095|246190|8
6103|69900|9
6156|32000|5
6342|18700|9
6527|92970|6
6535|19000|6
6555|57740|6
6579|11800|6
6641|70000|1
7045|70000|7
7123|12930|3
7354|21400|6
7445|12000|4
7712|140300|9
7778|196100|9
7818|96900|3
7826|10000|2
8103|100000|8
8410|80280|5
8424|66000|6
8432|29300|7
8438|109000|3
8499|46600|5
8633|45000|4
9189|34000|3
9394|29800|9
9495|33200|5
9553|40000|6
9685|1300|6
9687|59400|6
9796|40500|4
10141|266000|8
10193|39020|3
10318|6800|2
10595|83000|5
10647|18490|4
10707|36700|8
11211|55000|6
11364|55600|6
11416|75050|6
11466|38400|4
11480|70000|6
11500|39320|8
11659|62000|4
11938|7800|5
11970|83700|5
12171|135400|7
12257|61000|5
12314|21930|4
12378|50980|3
12432|25000|7
13121|379700|6
13502|50600|9
14042|14400|2
14277|29500|5
15217|156800|6
15458|112250|8
15510|50600|5
15558|13000|4
16096|96400|5
16118|66600|7
16323|57470|4
16371|62000|6
16412|51620|6
16494|31700|7
16651|71100|6
16683|25500|5
16719|102000|4
16745|8300|4
16807|9520|1
17434|60000|7
17667|53700|7
17849|4400|4
18092|35004|9
18265|57800|9
18307|28500|5
18393|11700|6
18434|25000|5
18466|22300|4
18546|27100|7
18869|25860|8
19116|18330|6
19118|89210|8
19233|8600|3
19249|73140|6
19331|35000|8
19367|15000|6
19439|52190|7
19620|204000|7
19664|200000|9
19674|29800|2
19757|7200|3
20084|48100|4
20297|120300|8
20325|392200|9
20690|99000|5
20712|89420|8
20799|20410|5
20835|96480|8
20893|36500|6
21136|159800|8
21200|63000|7
21393|57000|7
21803|123200|8
22204|107400|4
22242|73120|7
22560|27600|5
22917|32200|8
22961|17200|4
23136|27200|7
23180|35570|3
23463|356000|9
23570|49140|7
23670|53300|9
23778|37010|5
23849|71720|5
23869|77100|8
23935|109000|6
24327|54000|6
24347|111000|6
24732|88040|8
24744|62500|8
25102|65000|7
25306|42400|6
25357|50000|3
25473|48810|4
25535|68000|5
25537|60000|6
25543|202400|6
25569|152550|7
25577|107000|7
25784|101000|9
25873|175700|9
25891|21800|5
26152|80000|8
26270|70000|7
26290|47400|8
26379|68700|6
26654|18000|5
26822|38600|3
27202|8100|7
27459|43000|9
27533|11700|2
27758|70000|5
27951|17000|2
27983|27600|4
27987|45000|3
28312|31100|3
28316|110700|7
28455|58870|5
28607|6800|4
28649|16500|4
28842|37500|8
28876|20000|9
28945|46200|3
29210|25200|9
29240|12100|1
29334|53200|8
29565|7620|1
29575|32100|6
29631|129440|7
29655|22000|7
29844|24000|4
29999|69400|5
30021|22800|9
30065|56400|7
30234|48400|6
30306|5980|2
30384|27000|2
30400|8700|3
30424|53600|5
30511|51900|6
30617|31000|2
30633|7000|5
30639|47000|9
30748|54010|5
30782|44000|6
30995|81000|5
31187|56500|5
31430|28030|3
31440|7250|3
31796|56300|5
32436|63410|6
32585|10000|6
32727|36900|6
33010|1600|6
33029|16000|7
33191|8400|2
33520|156500|6
33888|630|3
34370|138400|8
34611|87200|8
34671|44000|6
34793|80600|9
34818|40300|4
35038|44600|6
35048|157300|9
35833|3800|2
35856|39100|5
35896|96000|2
35926|5000|4
36249|45000|4
36275|91200|8
36360|24640|6
36414|30500|3
36621|29300|5
36773|92000|6
36825|55700|5
37392|37800|5
37476|483210|8
37761|98100|5
38277|42000|9
38329|126000|6
38470|30000|5
38494|17800|4
38632|20000|4
38755|12500|5
38837|9700|4
38918|46200|8
39152|15480|5
39293|24000|3
39319|85100|5
39749|32000|4
40066|55000|5
40072|13480|2
40132|35000|5
40164|100620|3
40233|34000|6
40624|84350|7
40976|49400|5
41102|88200|6
41214|90000|8
41223|88600|6
41331|38500|2
41981|170000|7
42080|7400|1
42110|81900|5
42383|48700|5
42692|28900|5
42759|103050|5
42839|41500|7
42983|53000|4
43339|29100|9
43760|48000|9
43869|85140|5
44086|31000|4
44104|22000|8
44367|25000|5
44752|322000|9
44931|25520|5
45088|26910|6
45831|80500|8
45949|95300|8
46150|241000|9
46206|65300|5
46302|96000|5
46334|60000|4
46644|15400|4
47268|27000|1
47284|7000|5
47338|69100|5
47381|92620|6
47698|192100|6
47844|93400|8
47907|37040|2
48027|113000|9
48242|50500|8
48328|16150|9
49045|59050|4
49117|127000|9
49268|111000|2
49794|15800|3
49884|72100|7
49949|77800|7
50322|114400|9
50677|64400|4
50848|38600|7
50880|110000|8
50947|29300|8
50953|10000|3
51083|57000|5
51155|51900|5
51306|24100|2
51378|40000|5
51481|53160|4
51772|10000|2
52011|46900|4
52061|97610|8
52069|36200|7
52689|32000|9
52709|64100|6
52836|146170|7
53041|56000|7
53231|26600|5
54163|25460|4
54205|8500|5
54318|23000|5
54348|85000|6
54376|16300|6
55183|90000|8
55221|23700|3
55864|80500|8
55948|322000|7
56117|97000|7
56315|81000|6
56731|48050|5
56755|66000|9
56882|55700|1
57004|144180|8
57097|69200|9
57283|59000|6
57623|74900|7
57815|89400|6
57847|43400|6
57870|10000|6
58072|7600|3
58237|33400|5
58494|43000|5
58552|30000|4
58705|64000|8
58992|29000|6
59195|72200|7
59309|39600|6
59391|21000|6
59448|106540|7
59456|34150|4
59558|114000|9
59749|93200|5
60407|130000|7
60660|58200|1
60799|24000|8
61476|19600|9
61690|12750|4
61821|70000|8
61893|39300|7
61929|96200|6
62078|82000|2
62401|79040|2
62421|54700|8
62731|125300|9
62789|88600|6
62988|61700|6
63164|57900|7
63445|7200|3
63506|64000|7
63604|69100|5
63873|214400|6
63939|59000|5
64184|37000|7
64327|14400|4
64379|36800|5
64409|118900|7
64483|65184|9
64594|40920|7
64678|10300|5
64979|75000|7
65044|125400|8
65192|15600|2
65349|85600|7
65557|113470|8
65759|15000|3
65792|44300|8
66020|18000|5
66099|16600|9
66251|2400|4
66480|17600|6
66498|83000|7
66733|59800|9
67127|21000|5
67430|14000|3
67582|18200|6
67601|75100|6
67840|104540|9
67892|150300|9
67976|54000|4
65352|87500|7
65544|45050|6
65929|88100|5
66230|82000|6
66493|5500|5
66636|26000|7
67158|9190|3
67533|42000|9
68059|30000|3
68318|29000|2
68746|85730|6
69069|12000|3
69581|17300|5
69698|146000|4
69953|51540|9
70067|155100|7
70184|23270|7
70386|57000|4
70449|17000|5
70573|32200|6
70623|372000|2
70919|94400|7
70953|27000|7
70955|3600|2
71184|7200|2
71188|42500|8
71246|25300|5
71336|59000|3
71356|18000|4
71686|5000|5
71822|117000|8
71924|59300|5
72093|141400|5
72123|27150|9
72398|115680|6
72714|78000|5
72997|33400|6
73232|78000|8
73549|12000|5
73902|29200|6
74105|159350|4
74159|18000|3
74396|13000|6
74430|66400|5
74486|52000|6
74519|21500|5
74545|102600|6
75372|41400|4
75581|322000|9
75790|41300|3
75824|150800|6
75948|335000|8
76010|83404|9
76014|118500|6
76398|52000|4
76528|21200|4
76655|3600|1
76693|74040|6
76922|14400|2
77030|139000|7
77093|28000|4
77145|14000|5
77418|68490|5
77452|15100|6
77524|175000|9
77540|11900|2
77569|43300|8
78452|10000|3
78805|54900|8
78872|4800|3
79470|40500|4
80169|322000|8
80291|12800|2
80383|98000|6
80757|1140|5
80958|46000|6
81161|15600|2
81173|49200|5
81179|30800|6
81367|50000|4
81418|85400|7
81424|93800|7
81484|60260|5
81586|60000|4
81626|341400|4
81685|7800|3
82305|27710|5
82498|39230|4
82504|42800|6
82508|45400|4
82572|31100|5
82773|31900|5
82837|14450|8
83068|83000|6
83112|67200|5
83628|95000|7
83741|205800|5
83807|38700|4
84006|54000|6
84072|22300|6
84094|104820|8
84134|98000|4
84367|119500|4
84538|102150|4
84568|36300|6
84606|36220|9
84688|91000|5
84769|74100|5
84859|86000|7
85000|11000|3
