education_level|white|black|american_indian_alaska_native|asian|hawaii_pacific_islander|others
1|156788|39344|6142|29748|1008|77436
2|93246|21190|3474|8456|436|47682
3|225384|41792|5980|19022|918|121022
4|575148|80756|12220|17108|1232|73928
5|394332|72110|10766|12808|1064|72138
6|509256|108812|14906|14926|1494|49762
7|564980|147656|18332|14614|2088|61154
8|561012|157362|15106|35934|3020|83692
9|5159232|679090|94688|140634|18038|277260
10|1316272|161524|26422|39032|4400|64054
11|2546742|352384|52298|112468|9220|124096
12|1056386|116074|19304|51392|3526|44420
13|2467858|185462|23252|190876|5102|61402
14|897710|66360|7872|69308|1338|15862
15|304558|15760|2752|25846|520|9112
16|141336|8358|1726|17960|416|2734
